Title;Book Author;Book Narrator;audioRuntime;Categories;average_rating;ratings_count;price;audioRuntime_converted;average_rating_converted;ratings_count_converted;category_converted
101 Conversations in Intermediate German;Olly Richards;Michael Sonnen;03.03;Education & Learning;5;1;8;2;5;1;6
French Common Phrases;World Travel Institute;E.M.;03.20;Education & Learning;5;204;9;2;5;2;6
101 Activities and Resources for Teaching English Online: Practical Ideas for ESL/EFL Teachers;Jackie Bolen;Olivier Charlas;03.23;Education & Learning;5;1;8;2;5;1;6
Italian Short Stories for Beginners;La Bella Italia;Vita Wulf;05.04;Education & Learning;5;223;10;3;5;2;6
Spanish Language Lessons: 1001 Top Words in Context & Phrases for Beginners;International Learning Academy;Ana;07.02;Education & Learning;5;268;10;3;5;2;6
Spanish Short Stories for Beginners;Paulo Garcia;Belén Prieto;10.44;Education & Learning;5;50;9;3;5;1;6
Learn Spanish with Innovative Language's Proven Language System - Level 05: Advanced;Innovative Language Learning;SpanishPod101.com;0.18;Education & Learning;2.2;139;5;1;2;2;6
Learn Spanish with Innovative Language's Proven Language System - Level 3: Beginner Spanish;Innovative Language Learning;SpanishPod101.com;0.17;Education & Learning;2.5;259;5;1;2;2;6
Learn French with Innovative Language's Proven Language System - Level 5;Innovative Language Learning;FrenchPod101.com;0.18;Education & Learning;2.5;154;5;1;2;2;6
Learn Spanish with Innovative Language's Proven Language System - Level 2: Absolute Beginner Spanish;Innovative Language Learning;SpanishPod101.com;0.17;Education & Learning;2.7;394;5;1;2;2;6
Learn French with Innovative Language's Proven Language System - Level 3: Beginner French;Innovative Language Learning;FrenchPod101.com;0.16;Education & Learning;2.8;210;5;1;2;2;6
Learn Korean with Innovative Language's Proven Language System - Level 05: Advanced;Innovative Language Learning;KoreanClass101.com;0.19;Education & Learning;2.9;38;4;1;2;1;6
Learn Spanish with Innovative Language's Proven Language System - Level 1: Introduction to Spanish;Innovative Language Learning;SpanishPod101.com;0.16;Education & Learning;3.1;787;6;1;3;2;6
Learn French with Innovative Language's Proven Language System - Level 1: Introduction to French;Innovative Language Learning;FrenchPod101.com;0.15;Education & Learning;3.2;511;6;1;3;2;6
Learn Arabic with Innovative Language's Proven Language System - Level 2: Absolute Beginner Arabic;Innovative Language Learning;ArabicPod101.com;0.21;Education & Learning;3.2;68;5;1;3;1;6
Learn Korean with Innovative Language's Proven Language System - Level 3: Beginner Korean;Innovative Language Learning;KoreanClass101.com;0.20;Education & Learning;3.3;58;5;1;3;1;6
Learn Japanese with Innovative Language's Proven Language System - Level 3: Beginner Japanese;Innovative Language Learning;JapanesePod101.com;0.20;Education & Learning;3.3;137;6;1;3;2;6
Learn Arabic with Innovative Language's Proven Language System - Level 1: Introduction to Arabic;Innovative Language Learning;ArabicPod101.com;0.17;Education & Learning;3.4;172;6;1;3;2;6
Learn English with Innovative Language's Proven Language System - Level 3: Beginner English;Innovative Language Learning;EnglishClass101.com;0.21;Education & Learning;3.4;69;5;1;3;1;6
Boardwalk Empire Free Bonus Material;Kevin C. Fitzpatrick;Oliver Wyman;0.14;Education & Learning;3.8;1299;7;1;3;3;6
Learn Korean with Innovative Language's Proven Language System - Level 1: Introduction to Korean;Innovative Language Learning;KoreanClass101.com;0.23;Education & Learning;3.9;261;6;1;3;2;6
10 Books That Screwed Up the World;Benjamin Wiker;Robertson Dean;06.54;Education & Learning;3.9;342;8;3;3;2;6
Speak English Like an American;Amy Gillett;Amy Gillett;0.30;Education & Learning;4.1;41;6;1;4;1;6
101 Conversations in Intermediate French;Olly Richards;Thierry Saboulard;02.20;Education & Learning;4.1;9;7;2;4;1;6
101 Conversations in Simple English: Short Natural Dialogues to Boost Your Confidence & Improve Your Spoken English;Olly Richards;David McNeil;02.05;Education & Learning;4.2;5;7;2;4;1;6
Romanian for Beginners;Project Fluency;Diana Danila;0.19;Education & Learning;4.3;18;6;1;4;1;6
Writing for Audio;Katie O’Connor;Samantha Allen;0.27;Education & Learning;4.3;82;6;1;4;1;6
10 Topics from Everyday Life. With Hundreds of Useful Words and Phrases;Sylvie Lainé;Sylvie Lainé;01.15;Education & Learning;4.3;24;7;2;4;1;6
Excellent Sheep;William Deresiewicz;Mel Foster;08.34;Education & Learning;4.3;359;9;3;4;2;6
101 Conversations in Simple German;Olly Richards;Klaus Derendorf;02.09;Education & Learning;4.5;6;7;2;4;1;6
Positive Mindset Habits for Teachers;Grace Stevens;Allyson Voller;04.28;Education & Learning;4.5;55;8;3;4;1;6
10 Mindframes for Visible Learning: Teaching for Success;John Hattie;Brian Arens;06.04;Education & Learning;4.5;19;8;3;4;1;6
1001 Spanish Words in Context: How to Speak Intermediate Level Spanish in Less Than 28 Days;Diego Banos;John E. Martinez;06.20;Education & Learning;4.5;53;8;3;4;1;6
Nine Nasty Words;John McWhorter;John McWhorter;06.52;Education & Learning;4.7;171;9;3;4;2;6
A Swim in a Pond in the Rain;George Saunders;George Saunders;14.44;Education & Learning;4.7;172;9;3;4;2;6
10 Steps to Earning Awesome Grades (While Studying Less);Thomas Frank;Thomas Frank;02.26;Education & Learning;4.8;134;8;2;4;2;6
10 Bed-Time Stories in French and English;Frederic Bibard;Frederic Bibard;10.02;Education & Learning;4.8;13;8;3;4;1;6
101 Conversations in Simple Spanish (Spanish Edition);Olly Richards;David McNeil;02.30;Education & Learning;4.9;25;7;2;4;1;6
Learn Spanish Mastery;Paul Sánchez;Enrique Aparicio;22.17;Education & Learning;4.9;512;10;4;4;2;6
Hacking with Kali Linux;Mark Coding;Tom Haig;03.04;Computers & Technology;5;301;9;2;5;2;5
Python Data Science: The Utimate Crash Course for Beginners. Learn Python in a Week and Master It.;Press Computer Programming;Dave Wright;05.02;Computers & Technology;5;271;10;3;5;2;5
Superintelligence;Nick Bostrom;Napoleon Ryan;14.17;Computers & Technology;4.1;3777;10;3;4;3;5
Hacking for Beginners: Everything You Need to Know to Become an Elite Hacker;Dexter Silverstein;Jason R. Gray;0.29;Computers & Technology;4.4;134;7;1;4;2;5
iGen;Jean M. Twenge Ph.D.;Madeleine Maby;09.52;Computers & Technology;4.5;812;9;3;4;2;5
A Concise Introduction to GDPR;ITSM Press;Tom Howery;0.26;Computers & Technology;4.6;5;6;1;4;1;5
10 contes pour les 6-10 ans;Charles Perrault;Fabienne Prost;03.21;Children's Audiobooks;1;1;4;2;1;1;4
Spring Clean;Dina Gregory;Nneka Okoye;0.04;Children's Audiobooks;4;45;6;1;4;1;4
The Magic Faraway Tree: Silky's Story;Enid Blyton;Beth Eyre;0.09;Children's Audiobooks;4;2;6;1;4;1;4
Deux vilaines souris et Madame Trotte-Menu;Beatrix Potter;Erik Bjork;0.11;Children's Audiobooks;4;1;6;1;4;1;4
Los tres cerditos (Spanish Edition);Giacomo Brunoro;narratore sconosciuto;0.11;Children's Audiobooks;4;3;6;1;4;1;4
Benjamin Celebrates Hanukkah: The Jewish Festival of Lights;Virginie Alliel;Joseph A. Batzel;0.04;Children's Audiobooks;5;3;7;1;5;1;4
The First Hippo on the Moon;David Walliams;David Walliams;0.08;Children's Audiobooks;5;1;7;1;5;1;4
The Little Butterfly that Could;Ross Burach;Matt Braver;0.08;Children's Audiobooks;5;2;7;1;5;1;4
La petite poule qui voulait voir la mer;Christian Jolibois;André Dussollier;0.11;Children's Audiobooks;5;2;7;1;5;1;4
Rumple Buttercup;Matthew Gray Gubler;Matthew Gray Gubler;0.11;Children's Audiobooks;5;1328;9;1;5;3;4
Ricky Ricotta's Mighty Robot vs. the Mutant Mosquitoes from Mercury;Dav Pilkey;Oliver Wyman;0.21;Children's Audiobooks;5;1;7;1;5;1;4
Ricky Ricotta's Mighty Robot;Dav Pilkey;Oliver Wyman;0.21;Children's Audiobooks;5;4;7;1;5;1;4
The Gruffalo;Julia Donaldson;Imelda Staunton;0.24;Children's Audiobooks;5;6;7;1;5;1;4
Room on the Broom;Julia Donaldson;Josie Lawrence;0.24;Children's Audiobooks;5;31;7;1;5;1;4
The Adventures of Angus the Mouse;Montice L. Harmon;Christopher Hernandez;0.43;Children's Audiobooks;5;5713;11;2;5;4;4
Diary of an 8-Bit Warrior: Crafting Alliances;Cube Kid;Michael Gallagher;03.44;Children's Audiobooks;5;5;8;2;5;1;4
10 Bilingual Fairy Tales in French and English;Charles Perrault;Lorenz Martins;04.32;Children's Audiobooks;5;6;9;3;5;1;4
Bedtime and Sleep Stories for Kids;Sweet Dreams Stories;Krista Shirley;05.12;Children's Audiobooks;5;1080;11;3;5;3;4
The Warden and the Wolf King;Andrew Peterson;Andrew Peterson;13.46;Children's Audiobooks;5;221;10;3;5;2;4
101 Amazing Facts About Horses;Jack Goldstein;Jason Zenobia;0.25;Children's Audiobooks;2.5;2;4;1;2;1;4
When I Feel Frustrated;Michael Gordon;Teresa Booth;0.04;Children's Audiobooks;3.9;9;5;1;3;1;4
The Ant and the Butterfly;Dina Gregory;Lucy Price-Lewis;0.04;Children's Audiobooks;3.9;97;5;1;3;1;4
There Was an Old Lady Who Swallowed a Fly;Simms Taback;Stuart Blinder;0.05;Children's Audiobooks;4.1;9;6;1;4;1;4
The Chocolate Tree;Dina Gregory;Angus King;0.06;Children's Audiobooks;4.2;144;7;1;4;2;4
A Wizard of Earthsea;Ursula K. Le Guin;Rob Inglis;07.17;Children's Audiobooks;4.2;5361;11;3;4;4;4
Clifford the Big Red Dog;Norman Bridwell;Stephanie D'Abruzzo;0.03;Children's Audiobooks;4.3;119;7;1;4;2;4
My Little Brave Girl;Hilary Duff;Hilary Duff;0.05;Children's Audiobooks;4.3;6;6;1;4;1;4
Shrek!;William Steig;Stanley Tucci;0.08;Children's Audiobooks;4.3;21;6;1;4;1;4
Little Red Riding Hood;Trina Schart Hyman;Erin Yuen;0.11;Children's Audiobooks;4.3;22;6;1;4;1;4
Peppa Pig: Peppa Meets the Queen and Other Audio Stories;Ladybird;John Sparkes;0.19;Children's Audiobooks;4.3;6;6;1;4;1;4
A Wrinkle in Time;Madeleine L'Engle;Hope Davis;06.27;Children's Audiobooks;4.3;18762;11;3;4;4;4
Pete the Cat;James Dean;Teddy Walsh;0.03;Children's Audiobooks;4.4;19;6;1;4;1;4
The Sleepysaurus;Jennifer Carter;Rod Johnson;0.08;Children's Audiobooks;4.4;417;7;1;4;2;4
Libros para ninos en español: Leonardo la serie el león [Children's Books in Spanish: Leonardo the Lion Series];Leela Hope;Claudia R. Barrett;0.19;Children's Audiobooks;4.4;22;6;1;4;1;4
The Magic School Bus Inside the Human Body;Joanna Cole;Cassandra Morris;0.27;Children's Audiobooks;4.4;98;6;1;4;1;4
Fantastic Beasts and Where to Find Them;J.K. Rowling;Eddie Redmayne;01.54;Children's Audiobooks;4.4;11175;10;2;4;4;4
100 Cupboards;N. D. Wilson;Russell Horton;06.23;Children's Audiobooks;4.4;551;9;3;4;2;4
Between Planets;Robert A. Heinlein;Andrew Eiden;06.44;Children's Audiobooks;4.4;319;9;3;4;2;4
Gingerella;Dina Gregory;Amy Enticknap;0.06;Children's Audiobooks;4.5;203;7;1;4;2;4
Peter Rabbit;Beatrix Potter;Emma Messenger;0.08;Children's Audiobooks;4.5;60;6;1;4;1;4
The Three Little Pigs;James Marshall;Fritz Weaver;0.10;Children's Audiobooks;4.5;293;7;1;4;2;4
The Lorax;Dr. Seuss;Ted Danson;0.15;Children's Audiobooks;4.5;495;7;1;4;2;4
Charlie Cook's Favourite Book;Julia Donaldson;Imelda Staunton;0.17;Children's Audiobooks;4.5;21;6;1;4;1;4
The Magic School Bus: Inside the Earth;Joanna Cole;Polly Adams;0.20;Children's Audiobooks;4.5;68;6;1;4;1;4
The Diary of a Killer Cat;Anne Fine;Jack Dee;0.26;Children's Audiobooks;4.5;2;6;1;4;1;4
The Magic School Bus: Climate Challenge;Joanna Cole;Polly Adams;0.26;Children's Audiobooks;4.5;35;6;1;4;1;4
The Magic Finger;Roald Dahl;Kate Winslet;0.26;Children's Audiobooks;4.5;42;6;1;4;1;4
Winnie the Pooh;Disney Book Group;Disney Book Group;0.28;Children's Audiobooks;4.5;8;6;1;4;1;4
Lost in the Solar System;Joanna Cole;Polly Adams;0.30;Children's Audiobooks;4.5;89;6;1;4;1;4
Magic Tree House Collection: Books 1-8;Mary Pope Osborne;Mary Pope Osborne;06.01;Children's Audiobooks;4.5;1969;10;3;4;3;4
Goodnight Moon;Margaret Wise Brown;Buffy Allen;0.04;Children's Audiobooks;4.6;914;7;1;4;2;4
Dr. Seuss's ABC;Dr. Seuss;Jason Alexander;0.05;Children's Audiobooks;4.6;213;7;1;4;2;4
Where the Wild Things Are;Maurice Sendak;Peter Schickele;0.05;Children's Audiobooks;4.6;1256;8;1;4;3;4
Harold & the Purple Crayon;Crockett Johnson;Owen Jordan;0.06;Children's Audiobooks;4.6;448;7;1;4;2;4
Fox in Socks;Dr. Seuss;David Hyde Pierce;0.07;Children's Audiobooks;4.6;203;7;1;4;2;4
Goldilocks and the Three Bears;James Marshall;Ian Thomson;0.08;Children's Audiobooks;4.6;78;6;1;4;1;4
One Fish Two Fish Red Fish Blue Fish;Dr. Seuss;David Hyde Pierce;0.09;Children's Audiobooks;4.6;336;7;1;4;2;4
Curious George Rides a Bike;H. A. Rey;Bruce Johnson;0.11;Children's Audiobooks;4.6;344;7;1;4;2;4
How the Grinch Stole Christmas;Dr. Seuss;Walter Matthau;0.11;Children's Audiobooks;4.6;1428;8;1;4;3;4
Pete the Cat's Super Cool Reading Collection;James Dean;Teddy Walsh;0.18;Children's Audiobooks;4.6;160;7;1;4;2;4
The Tuttle Twins Learn About the Law;Connor Boyack;Nancy Peterson;0.19;Children's Audiobooks;4.6;74;6;1;4;1;4
Peppa Pig: Dentist Trip and Other Audio Stories;Ladybird;John Sparkes;0.23;Children's Audiobooks;4.6;10;6;1;4;1;4
A Squash and a Squeeze;Julia Donaldson;Imelda Staunton;0.23;Children's Audiobooks;4.6;32;6;1;4;1;4
The Snail and the Whale;Julia Donaldson;Imelda Staunton;0.23;Children's Audiobooks;4.6;150;7;1;4;2;4
Peppa Pig: Peppa Goes Swimming and Other Audio Stories;Ladybird;John Sparkes;0.24;Children's Audiobooks;4.6;13;6;1;4;1;4
His Dark Materials: Serpentine;Philip Pullman;Olivia Colman;0.25;Children's Audiobooks;4.6;117;7;1;4;2;4
Pinkalicious: The Pinkamazing Storybook Collection;Victoria Kann;Eliana Shaskan;0.29;Children's Audiobooks;4.6;33;6;1;4;1;4
The Smartest Giant in Town;Julia Donaldson;Imelda Staunton;0.30;Children's Audiobooks;4.6;57;6;1;4;1;4
The Tales of Beedle the Bard;J.K. Rowling;Warwick Davis;01.35;Children's Audiobooks;4.6;17741;10;2;4;4;4
Charlotte's Web;E. B. White;E. B. White;03.34;Children's Audiobooks;4.6;2480;9;2;4;3;4
The One and Only Ivan;Katherine Applegate;Adam Grupper;03.46;Children's Audiobooks;4.6;3982;9;2;4;3;4
Holes;Louis Sachar;Kerry Beyer;04.30;Children's Audiobooks;4.6;3246;10;3;4;3;4
The Ickabog;J.K. Rowling;Stephen Fry;07.52;Children's Audiobooks;4.6;2895;10;3;4;3;4
The Green Ember;S. D. Smith;Joel Clarkson;07.55;Children's Audiobooks;4.6;4020;10;3;4;3;4
The Lightning Thief;Rick Riordan;Jesse Bernstein;10.02;Children's Audiobooks;4.6;21302;12;3;4;5;4
The Golden Compass;Philip Pullman;Philip Pullman;10.39;Children's Audiobooks;4.6;18805;11;3;4;4;4
The Amber Spyglass;Philip Pullman;Philip Pullman;14.53;Children's Audiobooks;4.6;10090;11;3;4;4;4
Eclipse;Stephenie Meyer;Ilyana Kadushin;16.26;Children's Audiobooks;4.6;12633;12;4;4;4;4
The House of Hades;Rick Riordan;Nick Chamian;17.32;Children's Audiobooks;4.6;7571;12;4;4;4;4
The Napping House;Audrey Wood;Melissa Leebaert;0.04;Children's Audiobooks;4.7;393;7;1;4;2;4
The Good Egg;Jory John;Dan Bittner;0.06;Children's Audiobooks;4.7;56;6;1;4;1;4
Dragons Love Tacos;Adam Rubin;Adam Rubin;0.06;Children's Audiobooks;4.7;167;7;1;4;2;4
The Very Hungry Caterpillar;Eric Carle;Kevin R. Free;0.08;Children's Audiobooks;4.7;15;6;1;4;1;4
The Cat in the Hat;Dr. Seuss;Kelsey Grammer;0.08;Children's Audiobooks;4.7;519;7;1;4;2;4
The Couch Potato;Jory John;Kirby Heyborne;0.09;Children's Audiobooks;4.7;11;6;1;4;1;4
What the Ladybird Heard;Julia Donaldson;Alexander Armstrong;0.17;Children's Audiobooks;4.7;15;6;1;4;1;4
Hatchet;Gary Paulsen;Peter Coyote;03.42;Children's Audiobooks;4.7;7426;10;2;4;4;4
The 101 Dalmatians;Dodie Smith;Martin Jarvis;04.33;Children's Audiobooks;4.7;205;9;3;4;2;4
Esperanza Rising;Pam Munoz Ryan;Trini Alvarado;04.42;Children's Audiobooks;4.7;2007;10;3;4;3;4
The Sea of Monsters;Rick Riordan;Jesse Bernstein;07.55;Children's Audiobooks;4.7;13688;11;3;4;4;4
Wonder;R. J. Palacio;Diana Steele;08.06;Children's Audiobooks;4.7;16792;11;3;4;4;4
Howl's Moving Castle;Diana Wynne Jones;Jenny Sterlin;08.34;Children's Audiobooks;4.7;8923;11;3;4;4;4
The Titan's Curse;Rick Riordan;Jesse Bernstein;08.48;Children's Audiobooks;4.7;11896;11;3;4;4;4
Anne Frank: The Diary of a Young Girl;Anne Frank;Selma Blair;09.55;Children's Audiobooks;4.7;4944;10;3;4;3;4
The Battle of the Labyrinth;Rick Riordan;Jesse Bernstein;10.31;Children's Audiobooks;4.7;10328;11;3;4;4;4
The Hobbit;J. R. R. Tolkien;Rob Inglis;11.05;Children's Audiobooks;4.7;55068;12;3;4;5;4
The Lost Hero;Rick Riordan;Joshua Swanson;16.34;Children's Audiobooks;4.7;9639;12;4;4;4;4
The Ramona Quimby Audio Collection;Beverly Cleary;Stockard Channing;18.56;Children's Audiobooks;4.7;3185;11;4;4;3;4
Don't Let The Pigeon Stay Up Late!;Mo Willems;Mo Willems;0.04;Children's Audiobooks;4.8;138;7;1;4;2;4
Green Eggs and Ham;Dr. Seuss;Jason Alexander;0.05;Children's Audiobooks;4.8;1004;8;1;4;3;4
The Cool Bean;Jory John;Maxwell Glick;0.08;Children's Audiobooks;4.8;26;6;1;4;1;4
The Last Olympian;Rick Riordan;Jesse Bernstein;0.11;Children's Audiobooks;4.8;10475;9;1;4;4;4
Bedtime Stories for Kids;Mark Goldstein;Bonnie Oakes Charron;0.26;Children's Audiobooks;4.8;61;6;1;4;1;4
Matilda;Roald Dahl;Kate Winslet;04.18;Children's Audiobooks;4.8;5329;11;3;4;4;4
Intermediate Spanish Short Stories;Lingo Mastery;Mariela Arredondo;05.31;Children's Audiobooks;4.8;52;8;3;4;1;4
Sweep;Jonathan Auxier;Sarah Coomes;08.14;Children's Audiobooks;4.8;494;9;3;4;2;4
On the Edge of the Dark Sea of Darkness;Andrew Peterson;Andrew Peterson;08.19;Children's Audiobooks;4.8;301;9;3;4;2;4
Marvel's Avengers: Infinity War: Thanos;Barry Lyga;Tom Taylorson;10.04;Children's Audiobooks;4.8;1114;10;3;4;3;4
The Son of Neptune;Rick Riordan;Joshua Swanson;13.27;Children's Audiobooks;4.8;8870;11;3;4;4;4
The Mark of Athena;Rick Riordan;Joshua Swanson;15.08;Children's Audiobooks;4.8;8339;12;4;4;4;4
Dragons Love Tacos 2;Adam Rubin;Adam Rubin;0.05;Children's Audiobooks;4.9;44;6;1;4;1;4
The Velveteen Rabbit;Margery Williams;Richard Armitage;0.24;Children's Audiobooks;4.9;200;7;1;4;2;4
The Highway Rat;Julia Donaldson;Imelda Staunton;0.29;Children's Audiobooks;4.9;8;6;1;4;1;4
The Hunger Games: Special Edition;Suzanne Collins;Tatiana Maslany;10.35;Children's Audiobooks;4.9;6678;11;3;4;4;4
Summary of Richard N. Bolles’s What Color Is Your Parachute? by Swift Reads;Swift Reads;Richard Webb;0.25;Business & Careers;3;5;5;1;3;1;3
The IronMan Mind Sales Success Formula;Richard B. Greene;Richard B. Greene;03.20;Business & Careers;3;1;6;2;3;1;3
0.10%;Simeon Ivanov;Simeon Ivanov;08.06;Business & Careers;3;2;7;3;3;1;3
How to Remember Names and Faces;Dale Carnegie;Jason McCoy;0.20;Business & Careers;4;58;6;1;4;1;3
Millionaire Mindset;Paul J. Stanley;Nick Dolle;0.28;Business & Careers;4;47;6;1;4;1;3
Summary of Leaders Eat Last by Simon Sinek;Instaread;Dwight Equitz;0.29;Business & Careers;4;89;6;1;4;1;3
Marcus Buckingham's First Break All the Rules: What the World's Greatest Managers Do Differently Summary;Ant Hive Media;Michael Piotrasch;0.30;Business & Careers;4;90;6;1;4;1;3
The Power of Business Process Improvement 2nd Edition;Susan Page;Karen Saltus;09.17;Business & Careers;4;33;8;3;4;1;3
Focus for New Managers: Giving You the Focus to Get Things Done;Phil Roberts;Ian James;0.25;Business & Careers;5;3;7;1;5;1;3
La Guía para hacerte millonario [The Guide to Become a Millionaire];Moiz Ackerman;Nicolas Villanueva;01.01;Business & Careers;5;207;9;2;5;2;3
Sigue avanzando [Keep Going];Austin Kleon;Jorge Lemus;01.50;Business & Careers;5;12;8;2;5;1;3
Strategies & Tips for Time Management;Jack Barrett;Jack Powell;03.06;Business & Careers;5;291;9;2;5;2;3
Blogging for Profits in 2019;Ronald Roberts;Doug Eisengrein;03.10;Business & Careers;5;197;9;2;5;2;3
YouTube Playbook Secrets 2021;Robert D. Michaels;Tom Brooks;03.15;Business & Careers;5;4;8;2;5;1;3
The Advanced Affiliate Marketing Playbook;Graham Fisher;Jonathan Ostrander;03.35;Business & Careers;5;230;9;2;5;2;3
Changing Direction;Mary Miller;Mary Miller;04.56;Business & Careers;5;1;9;3;5;1;3
Pricing with Confidence;Reed Holden;Cheryl Tan;07.23;Business & Careers;5;2;9;3;5;1;3
Content Inc.: Completely Updated and Expanded Second Edition;Joe Pulizzi;Joe Pulizzi;07.25;Business & Careers;5;1;9;3;5;1;3
Emotional Intelligence (EQ) & Social Skills Mastery (2 in 1);James Hoskins;Johnathan B. Wright;10.25;Business & Careers;5;50;9;3;5;1;3
Social Media Marketing: 7 Books in 1;Charles Edwards;Richard Barrett;21.40;Business & Careers;5;225;11;4;5;2;3
Analysis of Andrew S. Grove's Only the Paranoid Survive by Milkyway Media;Milkyway Media;Dwight Equitz;0.09;Business & Careers;2.5;38;4;1;2;1;3
Coaching Questions;Randy Wayne;Kevin Theis;01.30;Business & Careers;3.2;13;6;2;3;1;3
Summary Ted Talks by Chris Anderson: The Official TED Guide to Public Speaking;Ant Hive Media;George Utley;0.17;Business & Careers;3.6;5;5;1;3;1;3
Pitch Anything by Oren Klaff - Book Summary;Dean Bokhari;Dean Bokhari;0.25;Business & Careers;3.8;24;5;1;3;1;3
10-Minute Digital Declutter;Barrie Davenport;Greg Zarcone;03.02;Business & Careers;3.8;23;6;2;3;1;3
Summary of Marshall B. Rosenberg’s Nonviolent Communication by Swift Reads;Swift Reads;Joseph Passaro;0.20;Business & Careers;4.1;14;6;1;4;1;3
10-Minute Declutter;S.J. Scott;Greg Zarcone;0.03;Business & Careers;4.2;156;7;1;4;2;3
Emotional Intelligence 2.0;Travis Bradberry;Tom Parks;04.17;Business & Careers;4.2;5307;11;3;4;4;3
The Customer of the Future;Blake Morgan;Lisa Larsen;06.38;Business & Careers;4.2;22;8;3;4;1;3
How to Talk to Anyone;Leil Lowndes;Joyce Bean;08.59;Business & Careers;4.2;9631;11;3;4;4;3
What Makes an Effective Executive;Peter F. Drucker;Bill DeWees;0.23;Business & Careers;4.3;426;7;1;4;2;3
The Coaching Habit;Michael Bungay Stanier;Daniel Maté;03.03;Business & Careers;4.3;4441;9;2;4;3;3
The Charisma Myth;Olivia Fox Cabane;Lisa Cordileione;08.20;Business & Careers;4.3;5313;11;3;4;4;3
The Innovator's Dilemma;Clayton M. Christensen;L.J. Ganser;08.37;Business & Careers;4.3;1289;10;3;4;3;3
The 5 AM Club;Robin Sharma;Adam Verner;11.04;Business & Careers;4.3;5260;11;3;4;4;3
The Speed of Trust;Stephen M. R. Covey;Stephen M. R. Covey;12.13;Business & Careers;4.3;2059;10;3;4;3;3
Three Tools for Tackling Tough Conversations;Phil M. Jones;Phil M. Jones;0.29;Business & Careers;4.4;95;6;1;4;1;3
How to Decrease Burnout and Increase Joy;Bruce Daisley;Bruce Daisley;0.30;Business & Careers;4.4;393;7;1;4;2;3
Exactly What to Say;Phil M. Jones;Phil M. Jones;01.14;Business & Careers;4.4;9970;10;2;4;4;3
Choose the Life You Want;Tal Ben-Shahar;Traber Burns;05.50;Business & Careers;4.4;121;9;3;4;2;3
Drive;Daniel H. Pink;Daniel H. Pink;05.53;Business & Careers;4.4;6751;11;3;4;4;3
Getting to Yes;Roger Fisher;Dennis Boutsikaris;06.17;Business & Careers;4.4;5171;11;3;4;4;3
What Got You Here Won't Get You There;Marshall Goldsmith;Marc Cashman;09.38;Business & Careers;4.4;2571;10;3;4;3;3
Smarter Faster Better;Charles Duhigg;Mike Chamberlain;10.23;Business & Careers;4.4;15701;11;3;4;4;3
Give and Take;Adam M. Grant PhD;Brian Keith Lewis;11.50;Business & Careers;4.4;3616;10;3;4;3;3
Algorithms to Live By;Brian Christian;Brian Christian;11.50;Business & Careers;4.4;15121;11;3;4;4;3
Radical Candor: Fully Revised & Updated Edition;Kim Scott;Teri Schnaubelt;11.56;Business & Careers;4.4;623;9;3;4;2;3
Summary of Jim Collins' Good to Great: Key Takeaways & Analysis;Sumoreads;Michael London Anglado;0.29;Business & Careers;4.5;46;6;1;4;1;3
#1 Best Seller;Bryan Heathman;Zackary Turner;02.20;Business & Careers;4.5;14;7;2;4;1;3
10 Answer Keys: Communicating with the 5 Generations in the Workplace;Mary L. Erlain;Roy Worley;03.44;Business & Careers;4.5;2;7;2;4;1;3
Zero to One;Peter Thiel;Blake Masters;04.50;Business & Careers;4.5;19573;11;3;4;4;3
Indistractable;Nir Eyal;Nir Eyal;05.15;Business & Careers;4.5;6668;11;3;4;4;3
The Secret Code of Success;Noah St. John;Noah St. John;05.47;Business & Careers;4.5;286;9;3;4;2;3
Designing Your Life;Bill Burnett;Bill Burnett;06.18;Business & Careers;4.5;1977;10;3;4;3;3
100 Side Hustles;Chris Guillebeau;Chris Guillebeau;07.34;Business & Careers;4.5;310;9;3;4;2;3
Blink;Malcolm Gladwell;Malcolm Gladwell;07.44;Business & Careers;4.5;22881;12;3;4;5;3
Measure What Matters;John Doerr;John Doerr;07.56;Business & Careers;4.5;5394;11;3;4;4;3
The Entrepreneur Mind;Kevin D. Johnson;David DeBoy;08.21;Business & Careers;4.5;344;9;3;4;2;3
The Tipping Point;Malcolm Gladwell;Malcolm Gladwell;08.34;Business & Careers;4.5;19632;11;3;4;4;3
The Lean Startup;Eric Ries;Eric Ries;08.38;Business & Careers;4.5;12631;11;3;4;4;3
The Mental Game of Trading;Jared Tendler;Jared Tendler;09.44;Business & Careers;4.5;12;8;3;4;1;3
Good to Great;Jim Collins;Jim Collins;10.01;Business & Careers;4.5;14533;11;3;4;4;3
Surrounded by Idiots;Thomas Erikson;David John;10.29;Business & Careers;4.5;374;9;3;4;2;3
101 Tough Conversations to Have with Employees;Paul Falcone;Adam Lofbomm;12.45;Business & Careers;4.5;10;8;3;4;1;3
Antifragile;Nassim Nicholas Taleb;Joe Ochman;16.14;Business & Careers;4.5;6627;12;4;4;4;3
PMP: First Attempt;Digital Prep Courses;Joe Wosik;01.23;Business & Careers;4.6;56;7;2;4;1;3
The New One Minute Manager;Ken Blanchard;Dan Woren;01.27;Business & Careers;4.6;4811;9;2;4;3;3
1000 Social Media Marketing Tricks;Gary K. Clark;Maurice Portman;03.17;Business & Careers;4.6;127;8;2;4;2;3
